Sample_ID,C_N,d13C_post,d13C_kilj,d13C,d15N,location,organism,month,tissue,,,
CR5-M23-CS-6-L,6.072350346,-28.48837316,-28.63021403,-31.18,6.18,creek,common shiner,may,liver,,,
CR5-M23-CS-6-M,3.775886908,-29.87187196,-29.21719637,-30.29,5.1,creek,common shiner,may,muscle,,,
CR5-M23-CS-7-L,9.867685391,-24.77099146,-26.55815484,-31.22,6.13,creek,common shiner,may,liver,,,
CR5-M23-CS-7-M,3.910864965,-28.39824368,-27.78560388,-28.95,6.06,creek,common shiner,may,muscle,,,
CR5-M23-CS-8-L,9.220604446,-25.5016016,-26.98280653,-31.31,5.08,creek,common shiner,may,liver,,,
CR5-M23-CS-8-M,3.782612733,-28.63521339,-27.98261745,-29.06,5.4,creek,common shiner,may,muscle,,,
CR5-M23-CS-9-L,7.801348764,-28.14666472,-28.99196147,-32.55,5.18,creek,common shiner,may,liver,,,
CR5-M23-CS-9-M,4.017635765,-34.42254059,-33.84359711,-35.08,4.82,creek,common shiner,may,muscle,,,
CR5-M23-GS-1-L,5.356894117,-29.26667482,-29.14248715,-31.25,6.59,creek,golden shiner,may,liver,,,
CR5-M23-GS-1-M,3.876411706,-29.45235241,-28.82892301,-29.97,7.73,creek,golden shiner,may,muscle,,,
CR5-M23-GS-2-L,4.597314697,-29.96865845,-29.57937829,-31.2,5.62,creek,golden shiner,may,liver,,,
CR5-M23-GS-2-M,3.73082462,-30.86648363,-30.19791534,-31.24,7.18,creek,golden shiner,may,muscle,,,
CR5-M23-GS-3-L,4.825576555,-28.24267921,-27.9311267,-29.7,5.7,creek,golden shiner,may,liver,,,
CR5-M23-GS-3-M,3.816223292,-28.63193894,-27.98975903,-29.09,7.1,creek,golden shiner,may,muscle,,,
CR5-M23-GS-4-L,4.778785551,-26.2490023,-25.92137907,-27.66,5.55,creek,golden shiner,may,liver,,,
CR5-M23-GS-4-M,3.745269272,-25.67218342,-25.00806071,-26.06,6.14,creek,golden shiner,may,muscle,,,
CR5-M23-GS-5-L,4.952565412,-28.74696024,-28.47937712,-30.33,6.01,creek,golden shiner,may,liver,,,
CR5-M23-GS-5-L QCD,5.04787604,-28.64260272,-28.40835825,-30.32,4.89,creek,golden shiner,may,N/A,,,
CR5-M23-GS-5-M,3.795804826,-28.62215322,-27.97364087,-29.06,6.69,creek,golden shiner,may,muscle,,,
CR5-M23-GS-5-M dup,3.778426442,-28.80935782,-28.15546728,-29.23,6.74,creek,golden shiner,may,N/A,,,
CR5-M23-GS-6-L,5.491606652,-28.69330941,-28.61802756,-30.81,6.32,creek,golden shiner,may,liver,,,
CR5-M23-GS-6-M,3.856171842,-29.67238988,-29.04264115,-30.17,6.66,creek,golden shiner,may,muscle,,,
CR5-M23-GS-7-L,5.096362425,-30.9846012,-30.76742714,-32.71,5.66,creek,golden shiner,may,liver,,,
CR5-M23-GS-7-M,3.772938532,-32.10479085,-31.44920412,-32.52,7.49,creek,golden shiner,may,muscle,,,
CR5-M23-GS-8-L,4.839319043,-27.99907415,-27.69225498,-29.47,5.54,creek,golden shiner,may,liver,,,
CR5-M23-GS-8-M,3.895044543,-27.5539059,-26.93630659,-28.09,6.89,creek,golden shiner,may,muscle,,,
CR5-M23-GS-9-L,5.021832061,-28.85838626,-28.61500326,-30.51,5.8,creek,golden shiner,may,liver,,,
CR5-M23-GS-9-M,3.879879755,-27.68891904,-27.06657386,-28.21,7.69,creek,golden shiner,may,muscle,,,
CR5-M23-MF-1,6.105894749,-29.8851642,-30.03985265,-32.61,2.17,creek,mayfly,may,N/A,,,
CR5-M23-MF-100,6.481928378,-29.91289091,-30.21383643,-33.01,1.23,creek,mayfly,may,N/A,,,
CR5-M23-ML-1,7.071965641,-27.09875402,-27.63727091,-30.78,4.62,creek,megaloptera,may,N/A,,,
CR5-M23-MUSS-1,5.135475967,-30.66587879,-30.46252929,-32.43,3.8,creek,mussel,may,N/A,,,
CR5-M23-MUSS-2,4.97161374,-31.5681024,-31.30715911,-33.17,4.54,creek,mussel,may,N/A,,,
CR5-M23-NRB-1-M,3.827068918,-32.45120177,-31.81239133,-32.92,8.22,creek,northern redbelly dace,may,muscle,,,
CR5-M23-NRB-10-M,3.837282415,-29.06109041,-28.42545678,-29.54,7.72,creek,northern redbelly dace,may,muscle,,,
CR5-M23-NRB-2-M,3.932024756,-29.49729549,-28.8913025,-30.07,6.51,creek,northern redbelly dace,may,muscle,,,
CR5-M23-NRB-3-M,3.927344951,-30.1419285,-29.53446414,-30.71,7.05,creek,northern redbelly dace,may,muscle,,,
CR5-M23-NRB-4-M,3.893076231,-28.64585453,-28.02763878,-29.18,7.45,creek,northern redbelly dace,may,muscle,,,
CR5-M23-NRB-6-M,3.993945908,-29.61599355,-29.02953993,-30.25,6.33,creek,northern redbelly dace,may,muscle,,,
CR5-M23-NRB-7-M,3.973479619,-29.99625518,-29.40332881,-30.61,7.26,creek,northern redbelly dace,may,muscle,,,
CR5-M23-NRB-8-M,3.893727262,-28.70521001,-28.08719814,-29.24,7.55,creek,northern redbelly dace,may,muscle,,,
CR5-M23-NRB-9-M,3.84692769,-29.74154159,-29.10891135,-30.23,8.15,creek,northern redbelly dace,may,muscle,,,
CR5-M23-ODO-1,5.201432304,-30.08058202,-29.90065338,-31.91,3.3,creek,odonate,may,N/A,,,
CR5-M23-PD-1-L,9.03184692,-26.77847155,-28.17226541,-32.4,7.03,creek,pearl dace,may,liver,,,
CR5-M23-PD-1-M,4.045934084,-29.24452526,-28.67457803,-29.93,7.75,creek,pearl dace,may,muscle,,,
CR5-M23-PD-10-L,9.256777973,-26.80578981,-28.30384235,-32.65,7.84,creek,pearl dace,may,liver,,,
CR5-M23-PD-10-M,3.890487941,-29.32841694,-28.70939079,-29.86,7.7,creek,pearl dace,may,muscle,,,
CR5-M23-PD-2-L,6.143021573,-29.52840864,-29.69735514,-32.29,7.93,creek,pearl dace,may,liver,,,
CR5-M23-PD-2-M,3.866970942,-30.83169877,-30.20531999,-31.34,7.76,creek,pearl dace,may,muscle,,,
CR5-M23-PD-3-L,4.782954335,-29.19487521,-28.86868091,-30.61,7.03,creek,pearl dace,may,liver,,,
CR5-M23-PD-3-M,3.950541946,-28.42896347,-27.82879983,-29.02,7.04,creek,pearl dace,may,muscle,,,
CR5-M23-PD-4-L,9.867685391,-25.03099146,-26.81815484,-31.48,7.52,creek,pearl dace,may,liver,,,
CR5-M23-PD-4-M,4.114263871,-29.93687877,-29.38876658,-30.69,7.17,creek,pearl dace,may,muscle,,,
CR5-M23-PD-5-L,7.603500125,-27.41253488,-28.17322173,-31.62,6.64,creek,pearl dace,may,liver,,,
CR5-M23-PD-5-M,3.908865947,-28.97022271,-28.35695577,-29.52,7.17,creek,pearl dace,may,muscle,,,
CR5-M23-PD-6-L,9.192600235,-27.94932577,-29.41750906,-33.73,6.63,creek,pearl dace,may,liver,,,
CR5-M23-PD-6-M,3.897833236,-30.9011451,-30.28441938,-31.44,7.37,creek,pearl dace,may,muscle,,,
CR5-M23-PD-7-M,3.953280248,-29.65625255,-29.05695195,-30.25,7.28,creek,pearl dace,may,muscle,,,
CR5-M23-PD-8-L,6.05337964,-32.20715416,-32.34174381,-34.88,6.63,creek,pearl dace,may,liver,,,
CR5-M23-PD-8-M,3.864620214,-32.56402599,-31.93691331,-33.07,7.13,creek,pearl dace,may,muscle,,,
CR5-M23-PD-9-M,4.050353545,-30.12014999,-29.55161021,-30.81,8.02,creek,pearl dace,may,muscle,,,
CR8-M23-CA-1,6.312926484,-26.74020278,-26.97491067,-29.67,2.18,creek,caddisfly,may,N/A,,,
CR9-M23-MUSS-1,4.932235057,-30.24708729,-29.97243021,-31.81,3.94,creek,mussel,may,N/A,,,
CR9-M23-MUSS-2,4.914289818,-30.37485308,-30.09396288,-31.92,4.07,creek,mussel,may,N/A,,,
CR9-M23-MUSS-3,4.863693273,-30.72494366,-30.42653467,-32.22,3.99,creek,mussel,may,N/A,,,
CR9-M23-MUSS-4,5.38350223,-30.79033279,-30.6757606,-32.8,3.9,creek,mussel,may,N/A,,,
CR9-M23-SF-P,5.347871453,-32.18560726,-32.058164,-34.16,3.09,creek,stonefly,may,N/A,,,
FN-M23-BM-1-M,4.00596527,-31.20409438,-30.62144873,-31.85,5.65,int,bluntnose minnow,may,muscle,,,
FN-M23-BNM-3-M,4.185756806,-27.60610076,-27.08100398,-28.43,5.91,int,bluntnose minnow,may,muscle,,,
FN-M23-CC-1-L,6.415575695,-25.63858006,-25.91342214,-28.67,6.03,int,creek chub,may,liver,,,
FN-M23-CC-1-L,5.583220543,-26.31261166,-26.27090683,-28.52,4.84,int,creek chub,may,liver,,,
FN-M23-CC-1-M,4.281231456,-26.74158086,-26.2474886,-27.66,6.4,int,creek chub,may,muscle,,,
FN-M23-CC-1-M,3.761307222,-26.99630585,-26.3371276,-27.4,5.76,int,creek chub,may,muscle,,,
FN-M23-CC-10-M,4.221382466,-27.04083136,-26.52726783,-27.9,6.41,int,creek chub,may,muscle,,,
FN-M23-CC-100-L,8.308413997,-24.40467014,-25.47141828,-29.31,6.65,int,creek chub,may,liver,,,
FN-M23-CC-100-M,4.189576714,-26.36231905,-25.83845686,-27.19,6.67,int,creek chub,may,muscle,,,
FN-M23-CC-11-L,7.445324956,-25.92912829,-26.62291177,-29.98,7,int,creek chub,may,liver,,,
FN-M23-CC-11-M,4.141894675,-27.50952427,-26.97028664,-28.29,7.26,int,creek chub,may,muscle,,,
FN-M23-CC-2-L,6.747982235,-26.10949759,-26.51636354,-29.47,6.09,int,creek chub,may,liver,,,
FN-M23-CC-2-M,4.039887993,-27.02051089,-26.44863927,-27.7,6.5,int,creek chub,may,muscle,,,
FN-M23-CC-3-L,10.06786666,-23.64281201,-25.52655857,-30.29,5.98,int,creek chub,may,liver,,,
FN-M23-CC-3-M,4.406392769,-27.06767116,-26.61468611,-28.11,6.59,int,creek chub,may,muscle,,,
FN-M23-CC-4-M,4.140394561,-27.68100938,-27.14128928,-28.46,6.18,int,creek chub,may,muscle,,,
FN-M23-CC-5-M,4.088981567,-26.36190825,-25.8056985,-27.09,6.43,int,creek chub,may,muscle,,,
FN-M23-CC-6-L,9.392975376,-24.34095438,-25.90271521,-30.32,6.62,int,creek chub,may,liver,,,
FN-M23-CC-6-M,4.196854979,-27.43511357,-26.91360506,-28.27,6.98,int,creek chub,may,muscle,,,
FN-M23-CC-7-L,6.242058562,-26.39036202,-26.59753884,-29.25,6,int,creek chub,may,liver,,,
FN-M23-CC-8-L,5.510756304,-28.90435126,-28.83606668,-31.04,7.89,int,creek chub,may,liver,,,
FN-M23-CC-8-M,4.117495561,-29.84367939,-29.29660384,-30.6,8.56,int,creek chub,may,muscle,,,
FN-M23-CS-1-M,3.927931823,-29.5513475,-28.94406761,-30.12,4.52,int,common shiner,may,muscle,,,
FN-M23-CS-11-L,7.465738182,-29.9189192,-30.62129961,-33.99,5.74,int,common shiner,may,liver,,,
FN-M23-CS-11-M,4.068818327,-31.74186986,-31.17921768,-32.45,5.07,int,common shiner,may,muscle,,,
FN-M23-CS-12-L,8.293199139,-28.27973285,-29.33974129,-33.17,5.45,int,common shiner,may,liver,,,
FN-M23-CS-12-M,4.049350297,-31.72114321,-31.15228387,-32.41,5.3,int,common shiner,may,muscle,,,
FN-M23-CS-2-L,5.735316397,-29.07203677,-29.08663862,-31.43,5.76,int,common shiner,may,liver,,,
FN-M23-CS-2-M,4.042141317,-28.2082801,-27.63712553,-28.89,5.94,int,common shiner,may,muscle,,,
FN-M23-CS-3-M,4.481604672,-27.89321137,-27.46517883,-29.01,5.37,int,common shiner,may,muscle,,,
FN-M23-CS-4-L,8.356591128,-26.60697478,-27.6951021,-31.56,4.78,int,common shiner,may,liver,,,
FN-M23-CS-4-M,4.041293908,-29.73911903,-29.16769478,-30.42,5.53,int,common shiner,may,muscle,,,
FN-M23-CS-5-L,6.343936381,-29.59950298,-29.84630332,-32.56,4.37,int,common shiner,may,liver,,,
FN-M23-CS-5-M,4.060738441,-34.43986894,-33.87463902,-35.14,4.2,int,common shiner,may,muscle,,,
FN-M23-CS-6-M,4.129427806,-31.69186647,-31.14862149,-32.46,5.22,int,common shiner,may,muscle,,,
FN-M23-CS-7-L,5.433137841,-31.59119354,-31.49461671,-33.65,3.7,int,common shiner,may,liver,,,
FN-M23-CS-7-M,4.060725875,-27.32988138,-26.76464745,-28.03,7.06,int,common shiner,may,muscle,,,
FN-M23-CS-8-L,4.839600317,-28.64879569,-28.34207347,-30.12,5.82,int,common shiner,may,liver,,,
FN-M23-CS-8-M,4.133387097,-28.88794677,-28.34597389,-29.66,6.64,int,common shiner,may,muscle,,,
FN-M23-CS-9-L,5.223614193,-26.98862195,-26.81660062,-28.84,5.65,int,common shiner,may,liver,,,
FN-M23-CS-9-M,4.203522477,-28.45851275,-27.93916198,-29.3,6.75,int,common shiner,may,muscle,,,
FN-M23-GS-1-L,4.677963522,-29.89881611,-29.53680525,-31.21,5.92,int,golden shiner,may,liver,,,
FN-M23-GS-1-M,3.745235137,-31.10221721,-30.43808398,-31.49,7.6,int,golden shiner,may,muscle,,,
FN-M23-GS-100-L,4.628280847,-31.23800196,-30.8591671,-32.5,4.59,int,golden shiner,may,liver,,,
FN-M23-GS-100-M,3.747575434,-31.53990032,-30.87648804,-31.93,5.36,int,golden shiner,may,muscle,,,
FN-M23-GS-101-L,4.719282178,-29.64791064,-29.29995261,-31,5.32,int,golden shiner,may,liver,,,
FN-M23-GS-101-M,3.742982688,-29.15444714,-28.48962021,-29.54,6.33,int,golden shiner,may,muscle,,,
FN-M23-GS-11-L,5.551765934,-29.24375173,-29.19048975,-31.42,5.23,int,golden shiner,may,liver,,,
FN-M23-GS-11-M,3.914683754,-28.55446308,-27.94302172,-29.11,5.79,int,golden shiner,may,muscle,,,
FN-M23-GS-12-L,5.114225431,-28.54691682,-28.33605041,-30.29,5.19,int,golden shiner,may,liver,,,
FN-M23-GS-12-M,4.256944546,-28.3056249,-27.80361664,-29.2,6.33,int,golden shiner,may,muscle,,,
FN-M23-GS-3-L,5.12717509,-28.82409666,-28.61780921,-30.58,6.28,int,golden shiner,may,liver,,,
FN-M23-GS-3-L,5.128699673,-28.42258732,-28.21683931,-30.18,6,int,golden shiner,may,liver,,,
FN-M23-GS-3-M,3.991153942,-28.8487576,-28.26142013,-29.48,6.53,int,golden shiner,may,muscle,,,
FN-M23-GS-3-M,3.835554659,-28.27280089,-27.6366296,-28.75,6.36,int,golden shiner,may,muscle,,,
FN-M23-GS-4-L,5.417170022,-27.56700168,-27.46462745,-29.61,5.11,int,golden shiner,may,liver,,,
FN-M23-GS-4-M,4.111967691,-28.20915199,-27.66030347,-28.96,6.28,int,golden shiner,may,muscle,,,
FN-M23-GS-5-M,3.806176214,-29.40188555,-28.7565879,-29.85,7.44,int,golden shiner,may,muscle,,,
FN-M23-GS-6-M,3.787137933,-30.36073345,-29.70953759,-30.79,5.41,int,golden shiner,may,muscle,,,
FN-M23-GS-7-L,4.962472344,-29.94715238,-29.68302116,-31.54,6.26,int,golden shiner,may,liver,,,
FN-M23-GS-7-M,3.855257191,-30.60329538,-29.97326142,-31.1,7.61,int,golden shiner,may,muscle,,,
