Sample_ID,C_N,d13C_post,d13C_kilj,d13C,d15N,location,organism,month,tissue,,,
LK-M23-GS-201-M,3.639012662,-28.55737746,-27.86072334,-28.84,5.77,lake,golden shiner,may,muscle,,,
LK-M23-GS-202-L,5.122143313,-29.17907812,-28.97101082,-30.93,4.78,lake,golden shiner,may,liver,,,
LK-M23-GS-202-M,3.830891902,-29.08741702,-28.44979525,-29.56,5.12,lake,golden shiner,may,muscle,,,
LK-M23-SMB-1-L,5.980176172,-25.88962559,-25.99633378,-28.49,8,lake,smallmouth bass,may,liver,,,
LK-M23-SMB-1-M,3.820030738,-25.54816957,-24.90717207,-26.01,7.7,lake,smallmouth bass,may,muscle,,,
LK-M23-SMB-10-L,5.1806182,-27.39118798,-27.2038536,-29.2,8.08,lake,smallmouth bass,may,liver,,,
LK-M23-SMB-10-M,3.806367429,-27.34169625,-26.6964579,-27.79,7.77,lake,smallmouth bass,may,muscle,,,
LK-M23-SMB-2-L,5.232863465,-26.26946517,-26.10074553,-28.13,7.6,lake,smallmouth bass,may,liver,,,
LK-M23-SMB-2-M,3.820030738,-26.11816957,-25.47717207,-26.58,7.7,lake,smallmouth bass,may,muscle,,,
LK-M23-SMB-3-L,5.435020774,-26.55932943,-26.46343676,-28.62,8.02,lake,smallmouth bass,may,liver,,,
LK-M23-SMB-3-M,3.692906502,-27.37402256,-26.69381908,-27.71,7.52,lake,smallmouth bass,may,muscle,,,
LK-M23-SMB-4-L,5.346713245,-26.10675389,-25.9788929,-28.08,7.91,lake,smallmouth bass,may,liver,,,
LK-M23-SMB-4-M,3.81191517,-25.76620398,-25.12268677,-26.22,7.83,lake,smallmouth bass,may,muscle,,,
LK-M23-SMB-5-L,5.422664627,-25.40156202,-25.30118182,-27.45,7.2,lake,smallmouth bass,may,liver,,,
LK-M23-SMB-5-M,3.777327013,-25.15044626,-24.49621582,-25.57,7.59,lake,smallmouth bass,may,muscle,,,
LK-M23-SMB-7-L,5.639279018,-25.62711377,-25.60608066,-27.89,8.24,lake,smallmouth bass,may,liver,,,
LK-M23-SMB-7-M,3.794573564,-26.08337217,-25.43447843,-26.52,7.35,lake,smallmouth bass,may,muscle,,,
LK-M23-SMB-8-L,5.919355138,-25.57983841,-25.66350166,-28.12,7.57,lake,smallmouth bass,may,liver,,,
LK-M23-SMB-8-M,3.809524602,-26.54857064,-25.90431165,-27,7.47,lake,smallmouth bass,may,muscle,,,
LK-M23-SMB-9-L,4.887145226,-24.90172623,-24.61142717,-26.42,8.17,lake,smallmouth bass,may,liver,,,
LK-M23-SMB-9-M,3.841236542,-24.73717582,-24.10277306,-25.22,7.33,lake,smallmouth bass,may,muscle,,,
LK-SMB-M23-6-L,5.3148364,-26.39831196,-26.25897038,-28.34,8.15,lake,smallmouth bass,may,liver,,,
LK-SMB-M23-6-M,3.73746789,-26.28990679,-25.62338217,-26.67,7.64,lake,smallmouth bass,may,muscle,,,
LK1-M23-BEET-1,5.245724573,-24.59673267,-24.43260845,-26.47,4.31,lake,beetle,may,N/A,,,
LK1-M23-BNM-1-L,4.895221618,-28.3637306,-28.07622852,-29.89,5.79,lake,bluntnose minnow,may,liver,,,
LK1-M23-BNM-1-M,3.832092288,-28.63622863,-27.99898021,-29.11,5.95,lake,bluntnose minnow,may,muscle,,,
LK1-M23-BNM-5-L,5.020280626,-27.66992218,-27.42599548,-29.32,5.37,lake,bluntnose minnow,may,liver,,,
LK1-M23-BNM-5-M,3.9445938,-29.38485214,-28.78281469,-29.97,5.92,lake,bluntnose minnow,may,muscle,,,
LK1-M23-CC-100-L,6.85589529,-27.18266366,-27.63305766,-30.65,5.31,lake,creek chub,may,liver,,,
LK1-M23-CC-100-M,3.945433643,-27.90402069,-27.30224774,-28.49,5.85,lake,creek chub,may,muscle,,,
LK1-M23-CS-1-L,6.896408508,-28.09255558,-28.5593746,-31.6,5.64,lake,common shiner,may,liver,,,
LK1-M23-CS-1-M,3.827922369,-28.90035685,-28.26181173,-29.37,6.07,lake,common shiner,may,muscle,,,
LK1-M23-CS-2-L,8.205215962,-23.6068362,-24.62798494,-28.41,5.6,lake,common shiner,may,liver,,,
LK1-M23-CS-2-M,3.901785574,-27.75723228,-27.14174515,-28.3,5.72,lake,common shiner,may,muscle,,,
LK1-M23-GS-100-L,4.993865113,-28.05607354,-27.80290121,-29.68,4.41,lake,golden shiner,may,liver,,,
LK1-M23-GS-100-M,3.743740033,-27.99369737,-27.32910366,-28.38,4.72,lake,golden shiner,may,muscle,,,
LK1-M23-GS-101-M,3.816003386,-28.55215665,-27.90990846,-29.01,6.8,lake,golden shiner,may,muscle,,,
LK1-M23-MF-1,5.0678483,-27.11283018,-26.88560827,-28.81,2.09,lake,mayfly,may,N/A,,,
LK1-M23-MF-2,5.339698933,-27.35369806,-27.22330813,-29.32,1.64,lake,mayfly,may,N/A,,,
LK1-M23-MF-3,5.677041268,-26.85972914,-26.85267462,-29.16,1.33,lake,mayfly,may,N/A,,,
LK1-M23-MF-4,6.191402565,-25.87051146,-26.05809837,-28.68,2.1,lake,mayfly,may,N/A,,,
LK1-M23-MF-5,5.317460012,-27.42571459,-27.28731672,-29.37,1.56,lake,mayfly,may,N/A,,,
LK1-M23-MF-8,6.076416793,-26.23434737,-26.37774395,-28.93,1.97,lake,mayfly,may,N/A,,,
LK1-M23-ML-1,5.504530204,-26.4705151,-26.39995428,-28.6,2.71,lake,megaloptera,may,N/A,,,
LK1-M23-MP-1,6.851985143,-22.01653471,-22.46534585,-25.48,1.28,lake,millipede,may,N/A,,,
LK1-M23-MUSS-1,5.097677428,-28.71329935,-28.49658929,-30.44,1.23,lake,mussel,may,N/A,,,
LK1-M23-MUSS-2,5.864805614,-28.07384244,-28.13693034,-30.56,1.68,lake,mussel,may,N/A,,,
LK1-M23-MUSS-3,5.733348035,-28.37398545,-28.38785414,-30.73,1.78,lake,mussel,may,N/A,,,
LK1-M23-MUSS-4,4.914174484,-28.35496726,-28.07403704,-29.9,2.19,lake,mussel,may,N/A,,,
LK1-M23-MUSS-5,5.077388225,-28.34338566,-28.11952259,-30.05,1.98,lake,mussel,may,N/A,,,
LK1-M23-MUSS-6,5.932962851,-28.56636678,-28.65517644,-31.12,1.63,lake,mussel,may,N/A,,,
LK1-M23-ODO-1,5.815188279,-26.2829636,-26.32741347,-28.72,2.74,lake,odonate,may,N/A,,,
LK1-M23-PD-1-L,6.601024533,-28.73498571,-29.08309839,-31.95,5.81,lake,pearl dace,may,liver,,,
LK1-M23-PD-1-M,3.89922164,-29.68977058,-29.0734799,-30.23,6.88,lake,pearl dace,may,muscle,,,
LK1-M23-SF-1,5.462409148,-28.52221494,-28.43628594,-30.61,4.52,lake,stonefly,may,N/A,,,
LK1-M23-SL-1,6.425049352,-22.58920114,-22.8677625,-25.63,1.64,lake,slug,may,N/A,,,
LK10-M23-BNM-7-L,4.584604698,-28.06124135,-27.66768301,-29.28,6.09,lake,bluntnose minnow,may,liver,,,
LK10-M23-BNM-7-M,3.840622762,-27.92778347,-27.2931896,-28.41,5.79,lake,bluntnose minnow,may,muscle,,,
LK10-M23-ODO-1,5.191723023,-28.52019421,-28.33680928,-30.34,2.33,lake,odonate,may,N/A,,,
LK10-M23-YP-4-L,4.911875453,-27.0772433,-26.79551528,-28.62,6.31,lake,yellow perch,may,liver,,,
LK10-M23-YP-4-M,3.704461387,-26.23258323,-25.55592004,-26.58,5.66,lake,yellow perch,may,muscle,,,
LK10-M23-YP-5-L,4.681958205,-27.95486138,-27.59420672,-29.27,5.5,lake,yellow perch,may,liver,,,
LK10-M23-YP-5-M,3.710192627,-26.9269093,-26.25200383,-27.28,5.47,lake,yellow perch,may,muscle,,,
LK10-M23-YP-6-L,5.120369191,-28.9308345,-28.72213985,-30.68,6.8,lake,yellow perch,may,liver,,,
LK10-M23-YP-6-M,3.808651059,-29.15943545,-28.51490545,-29.61,6.99,lake,yellow perch,may,muscle,,,
LK10-M23-YP-7-M,3.809584361,-26.71851148,-26.07427103,-27.17,5.54,lake,yellow perch,may,muscle,,,
LK10-M23-YP-8-L,5.063179753,-26.75745204,-26.52858747,-28.45,6.22,lake,yellow perch,may,liver,,,
LK10-M23-YP-8-M,3.776836196,-26.17093217,-25.51655,-26.59,5.31,lake,yellow perch,may,muscle,,,
LK2-M23-BEET-1,5.632574902,-23.68375085,-23.66024055,-25.94,3.09,lake,beetle,may,N/A,,,
LK2-M23-CC-5-L,5.587623638,-26.7982526,-26.75816797,-29.01,5.4,lake,creek chub,may,liver,,,
LK2-M23-CC-5-M,3.829251047,-26.61904146,-25.98090945,-27.09,6.23,lake,creek chub,may,muscle,,,
LK2-M23-CC-6-M,3.794082023,-28.4238588,-27.77481281,-28.86,6.21,lake,creek chub,may,muscle,,,
LK2-M23-CT-1,6.833206115,-27.52512595,-27.96634109,-30.97,2.73,lake,caterpillar,may,N/A,,,
LK2-M23-MF-5,5.633070727,-27.72325998,-27.69993285,-29.98,1.21,lake,mayfly,may,N/A,,,
LK2-M23-MF-P,4.943369021,-27.56606467,-27.29528002,-29.14,1.95,lake,mayfly,may,N/A,,,
LK2-M23-MP-1,7.45742061,-21.5171536,-22.21602976,-25.58,-0.58,lake,millipede,may,N/A,,,
LK2-M23-MUSS-1,5.291006392,-28.30190367,-28.15400018,-30.22,2.3,lake,mussel,may,N/A,,,
LK2-M23-MUSS-3,5.317301972,-28.48587105,-28.34741633,-30.43,1.15,lake,mussel,may,N/A,,,
LK2-M23-MUSS-4,5.077965319,-28.37281433,-28.14915454,-30.08,1.92,lake,mussel,may,N/A,,,
LK2-M23-MUSS-5,5.033768623,-28.58656906,-28.3473718,-30.25,2.22,lake,mussel,may,N/A,,,
LK2-M23-MUSS-6,5.077509026,-28.69326606,-28.46944554,-30.4,2.04,lake,mussel,may,N/A,,,
LK2-M23-ODO-1,5.478772197,-26.19601552,-26.11605024,-28.3,3.47,lake,odonate,may,N/A,,,
LK2-M23-SF-1,12.12431805,-20.85692513,-23.78248721,-29.54,3.86,lake,stonefly,may,N/A,,,
LK2-M23-SL-1,6.130887255,-23.60042162,-23.76470366,-26.35,0.86,lake,slug,may,N/A,,,
LK3-M23-GS-2-L,5.55470424,-27.7108428,-27.65865915,-29.89,5.41,lake,golden shiner,may,liver,,,
LK3-M23-GS-2-M,3.790088252,-28.45781263,-27.80752998,-28.89,6.05,lake,golden shiner,may,muscle,,,
LK3-M23-GS-3-L,5.197614659,-28.91436149,-28.7330735,-30.74,6.37,lake,golden shiner,may,liver,,,
LK3-M23-GS-3-M,4.06634339,-28.89432004,-28.33087805,-29.6,6.32,lake,golden shiner,may,muscle,,,
LK3-M23-GS-4-L,5.323400309,-28.31983369,-28.18357335,-30.27,5.86,lake,golden shiner,may,liver,,,
LK3-M23-GS-4-M,3.972330615,-28.22739269,-27.63410336,-28.84,6.64,lake,golden shiner,may,muscle,,,
LK3-M23-GS-5-L,4.994711697,-28.64523542,-28.39235906,-30.27,4.81,lake,golden shiner,may,liver,,,
LK3-M23-GS-5-M,3.708047697,-28.09903278,-27.42346935,-28.45,6.47,lake,golden shiner,may,muscle,,,
LK3-M23-GS-6-L,4.862621385,-27.79600483,-27.49722559,-29.29,5.1,lake,golden shiner,may,liver,,,
LK3-M23-GS-6-M,3.749019814,-28.49847038,-27.83550315,-28.89,6.31,lake,golden shiner,may,muscle,,,
LK3-M23-GS-7-L,5.399826424,-28.79417184,-28.6855096,-30.82,5.77,lake,golden shiner,may,liver,,,
LK3-M23-GS-7-M,3.981343952,-28.24846949,-27.65802863,-28.87,6.74,lake,golden shiner,may,muscle,,,
LK3-M23-YP-10-L,4.69331271,-28.08362042,-27.72682347,-29.41,6.89,lake,yellow perch,may,liver,,,
LK3-M23-YP-10-M,3.908497415,-26.78058756,-26.16720501,-27.33,6.07,lake,yellow perch,may,muscle,,,
LK3-M23-YP-11-M,3.783839315,-29.62399908,-28.97178256,-30.05,6.75,lake,yellow perch,may,muscle,,,
LK3-M23-YP-8-L,4.649277897,-26.61721488,-26.24548042,-27.9,6.49,lake,yellow perch,may,liver,,,
LK3-M23-YP-8-M,3.694265688,-26.54267697,-25.86288968,-26.88,5.65,lake,yellow perch,may,muscle,,,
LK5-M23-MF-2,5.616082188,-27.11007863,-27.08048006,-29.35,1.41,lake,mayfly,may,N/A,,,
LK5-M23-ODO-1,5.501475343,-33.63353941,-33.56186217,-35.76,2.18,lake,odonate,may,N/A,,,
LK5-M23-ODO-2,5.649175997,-34.69731576,-34.67994208,-36.97,1.12,lake,odonate,may,N/A,,,
LK5-M23-ODO-3,5.433234408,-27.32109794,-27.22455619,-29.38,3.01,lake,odonate,may,N/A,,,
LK5-M23-YP-3-L,5.501507992,-26.99350709,-26.92184178,-29.12,6.86,lake,yellow perch,may,liver,,,
LK5-M23-YP-3-M,3.784295963,-25.603547,-24.95147175,-26.03,6.79,lake,yellow perch,may,muscle,,,
LK7-M23-BNM-2-M,3.852220847,-26.87630136,-26.2453207,-27.37,6.22,lake,bluntnose minnow,may,muscle,,,
LK7-M23-BNM-3-L,5.317885465,-23.86529339,-23.72704858,-25.81,5.27,lake,bluntnose minnow,may,liver,,,
LK7-M23-BNM-3-M,3.996180584,-24.58378122,-23.99803521,-25.22,5.6,lake,bluntnose minnow,may,muscle,,,
LK7-M23-BNM-4-M,3.931264974,-26.56804768,-25.96181575,-27.14,5.51,lake,bluntnose minnow,may,muscle,,,
LK7-M23-GS-1-L,4.954818779,-29.99472941,-29.72793116,-31.58,5.39,lake,golden shiner,may,liver,,,
LK7-M23-GS-1-M,3.734545532,-29.78279992,-29.11537611,-30.16,5.73,lake,golden shiner,may,muscle,,,
LK7-M23-MF-1,5.252810383,-25.76971772,-25.60812755,-27.65,2.56,lake,mayfly,may,N/A,,,
LK7-M23-MF-2,5.137887606,-26.59349127,-26.39099572,-28.36,1.83,lake,mayfly,may,N/A,,,
LK7-M23-MF-3,5.574914052,-26.80083509,-26.75607534,-29,3.69,lake,mayfly,may,N/A,,,
LK7-M23-MF-7,6.639683109,-27.48671372,-27.85022312,-30.74,2.37,lake,mayfly,may,N/A,,,
LK7-M23-YP-1-M,3.74101628,-28.59639388,-27.93096148,-28.98,6.2,lake,yellow perch,may,muscle,,,
LK7-M23-YP-2-L,4.842800059,-27.18562794,-26.88000871,-28.66,6.31,lake,yellow perch,may,liver,,,
LK7-M23-YP-2-M,3.778344748,-26.5194387,-25.8655229,-26.94,6.2,lake,yellow perch,may,muscle,,,
LK8-M23-BNM-10-M,3.802543106,-25.70548233,-25.05905813,-26.15,5.62,lake,bluntnose minnow,may,muscle,,,
LK8-M23-BNM-11-L,5.384159048,-25.01968254,-24.90534798,-27.03,4.58,lake,bluntnose minnow,may,liver,,,
LK8-M23-BNM-11-M,3.957742628,-27.3918348,-26.79394116,-27.99,4.52,lake,bluntnose minnow,may,muscle,,,
LK8-M23-BNM-12-L,6.212728972,-23.94939832,-24.14522359,-26.78,4.81,lake,bluntnose minnow,may,liver,,,
LK8-M23-BNM-12-M,4.072677383,-27.66804939,-27.10662917,-28.38,4.97,lake,bluntnose minnow,may,muscle,,,
LK8-M23-BNM-9-L,5.674720048,-24.12202715,-24.11411213,-26.42,4.76,lake,bluntnose minnow,may,liver,,,
LK8-M23-BNM-9-M,4.048902851,-25.05158618,-24.48258433,-25.74,5.57,lake,bluntnose minnow,may,muscle,,,
LK8-M23-CC-1-L,5.103557186,-25.41747839,-25.20284368,-27.15,4.71,lake,creek chub,may,liver,,,
LK8-M23-CC-1-M,3.933768448,-26.27556924,-25.67012467,-26.85,4.85,lake,creek chub,may,muscle,,,
LK8-M23-CC-2-L,5.688152151,-26.21872937,-26.21579601,-28.53,5.03,lake,creek chub,may,liver,,,
LK8-M23-CC-2-M,4.063964094,-26.56667555,-26.00247445,-27.27,6.58,lake,creek chub,may,muscle,,,
LK9-M23-BNM-1-M,3.970148524,-28.06955296,-27.47557445,-28.68,6.18,lake,bluntnose minnow,may,muscle,,,
LK9-M23-CS-3-L,8.963514824,-26.55612032,-27.91847944,-32.11,4.4,lake,common shiner,may,liver,,,
LK9-M23-CS-3-M,3.928405135,-30.03087892,-29.42374782,-30.6,5.04,lake,common shiner,may,muscle,,,
LK9-M23-MUSS-1,5.542685365,-28.55274149,-28.4961487,-30.72,1.85,lake,mussel,may,N/A,,,
LK9-M23-MUSS-2,5.459847413,-28.24475106,-28.15788914,-30.33,1.71,lake,mussel,may,N/A,,,
LK9-M23-MUSS-3,5.401412625,-28.6026015,-28.49451396,-30.63,2.14,lake,mussel,may,N/A,,,
LK9-M23-MUSS-4,5.323869786,-28.68936891,-28.55327755,-30.64,1.77,lake,mussel,may,N/A,,,
LK9-M23-MUSS-5,6.452683973,-27.62184287,-27.91126802,-30.69,1.84,lake,mussel,may,N/A,,,
LK9-M23-MUSS-6,5.260797157,-28.50181081,-28.34307877,-30.39,1.89,lake,mussel,may,N/A,,,
LK9-M23-MUSS-7,6.178529262,-28.11325603,-28.29587641,-30.91,2.34,lake,mussel,may,N/A,,,
CR5-A23-CS-10-M,3.784722389,-31.36312483,-30.71118152,-31.79,5.4,creek,common shiner,august,muscle,,,
CR5-A23-CS-11-M,4.022872444,-29.87735628,-29.30007552,-30.54,6.53,creek,common shiner,august,muscle,,,
CR5-A23-CS-6-L,5.480082918,-29.14471791,-29.0652307,-31.25,6.34,creek,common shiner,august,liver,,,
CR5-A23-GS-10-L,5.598112218,-32.3978689,-32.36164612,-34.62,5.77,creek,golden shiner,august,liver,,,
CR5-A23-GS-5-L,4.724351743,-30.08289177,-29.73666176,-31.44,5.06,creek,golden shiner,august,liver,,,
CR5-A23-GS-6-L,5.132875872,-30.51845289,-30.31418289,-32.28,5.74,creek,golden shiner,august,liver,,,
CR5-A23-GS-8-L,5.296405378,-32.20655868,-32.06059344,-34.13,5.14,creek,golden shiner,august,liver,,,
CR5-A23-GS-9-L,5.087750444,-29.17312706,-28.95291559,-30.89,4.68,creek,golden shiner,august,liver,,,
CR5-A23-SMB-3-L,5.908332751,-23.84075058,-23.9202492,-26.37,5.38,creek,smallmouth bass,august,liver,,,
CR5-A23-SMB-3-M,3.837290817,-23.94108209,-23.30545108,-24.42,5.47,creek,smallmouth bass,august,muscle,,,
CR5-A23-SMB-4-L,5.005851779,-24.73420674,-24.48522709,-26.37,4.99,creek,smallmouth bass,august,liver,,,
CR5-A23-SMB-4-M,3.840459945,-24.21794465,-23.5833001,-24.7,5.29,creek,smallmouth bass,august,muscle,,,
CR5-A23-SMB-5-L,5.875672029,-27.36308469,-27.4302642,-29.86,4.7,creek,smallmouth bass,august,liver,,,
CR5-A23-SMB-5-M,3.769397944,-31.70829604,-31.05161554,-32.12,3.78,creek,smallmouth bass,august,muscle,,,
CR5-A23-YP-6-L,7.168143986,-27.87353745,-28.45169136,-31.65,6.38,creek,yellow perch,august,liver,,,
CR5-A23-YP-6-M,3.824846689,-35.52340178,-34.88390061,-35.99,7.21,creek,yellow perch,august,muscle,,,
CR9-A23-CS-M,3.890177459,-29.37872432,-28.75960097,-29.91,6.72,creek,common shiner,august,muscle,,,
CR9-A23-GS-8-M,3.746085862,-31.601375,-30.93750382,-31.99,6.98,creek,golden shiner,august,muscle,,,
CR9-A23-SMB-10-L,5.683907399,-24.30293167,-24.29842344,-26.61,5.26,creek,smallmouth bass,august,liver,,,
CR9-A23-SMB-10-M,3.805039291,-24.2130111,-23.56736087,-24.66,5.52,creek,smallmouth bass,august,muscle,,,
FN-A23-BNM-4-M,3.778281124,-31.26950169,-30.61556622,-31.69,6.41,int,bluntnose minnow,august,muscle,,,
FN-A23-SMB-4-L,5.713052256,-26.71407827,-26.72039417,-29.05,7.93,int,smallmouth bass,august,liver,,,
FN-A23-SMB-4-M,3.78650857,-27.87135652,-27.21996589,-28.3,8.14,int,smallmouth bass,august,muscle,,,
LK-A23-SMB-3-L,5.247814503,-26.58466364,-26.42128667,-28.46,6.73,lake,smallmouth bass,august,liver,,,
LK-A23-SMB-3-M,3.721038062,-27.65617232,-26.98459621,-28.02,7.02,lake,smallmouth bass,august,muscle,,,
LK-A23-SMB-4-L,5.340670656,-26.28273605,-26.15269638,-28.25,7,lake,smallmouth bass,august,liver,,,
LK-A23-SMB-4-M,3.698066595,-25.58891407,-24.91029101,-25.93,6.79,lake,smallmouth bass,august,muscle,,,
LK-A23-SMB-7-L,5.143879943,-27.41755886,-27.21718599,-29.19,5.91,lake,smallmouth bass,august,liver,,,
LK-A23-SMB-7-M,3.80682583,-27.51124243,-26.86614625,-27.96,7.19,lake,smallmouth bass,august,muscle,,,
LK1-A23-YP-4-L,5.153294282,-26.22823866,-26.03120293,-28.01,4.7,lake,yellow perch,august,liver,,,
LK1-A23-YP-4-M,3.707857541,-26.57922103,-25.90359928,-26.93,5.74,lake,yellow perch,august,muscle,,,
LK1-A23-YP-5-L,5.421614622,-26.40260152,-26.3018402,-28.45,3.68,lake,yellow perch,august,liver,,,
LK1-A23-YP-5-M,3.788577655,-27.02930812,-26.37855786,-27.46,5.32,lake,yellow perch,august,muscle,,,
LK1-A23-YP-6-L,5.405789517,-26.69826838,-26.59176704,-28.73,3.84,lake,yellow perch,august,liver,,,
LK1-A23-YP-6-M,3.754846519,-27.04270195,-26.3815308,-27.44,5.13,lake,yellow perch,august,muscle,,,
LK5-A23-YP-2-L,5.612690108,-28.26343679,-28.23258706,-30.5,4.69,lake,yellow perch,august,liver,,,
LK5-A23-YP-2-M,3.748438931,-28.01904546,-27.35589923,-28.41,5.74,lake,yellow perch,august,muscle,,,
LK6-A23-YP-1-L,4.948311442,-28.62117167,-28.35210729,-30.2,4.28,lake,yellow perch,august,liver,,,
LK6-A23-YP-1-M,3.692906502,-29.08402256,-28.40381908,-29.42,5.47,lake,yellow perch,august,muscle,,,
LK8-A23-YP-10-L,5.139102715,-31.72228831,-31.52022311,-33.49,4.67,lake,yellow perch,august,liver,,,
LK8-A23-YP-10-M,3.713120306,-30.1240109,-29.45000377,-30.48,6.04,lake,yellow perch,august,muscle,,,
LK8-A23-YP-8-L,7.434821566,-25.65952665,-26.34889099,-29.7,6.08,lake,yellow perch,august,liver,,,
LK8-A23-YP-8-M,3.700064365,-27.36693628,-26.68892534,-27.71,7.13,lake,yellow perch,august,muscle,,,
LK8-A23-YP-9-L,6.147599525,-26.67387647,-26.84458386,-29.44,4.52,lake,yellow perch,august,liver,,,
LK9-A23-YP-3-L,5.088412203,-26.84247192,-26.62249377,-28.56,5.25,lake,yellow perch,august,liver,,,
LK9-A23-YP-3-M,3.714252783,-27.52288974,-26.84923019,-27.88,6.11,lake,yellow perch,august,muscle,,,
LK9-A23-YP-7-L,5.538188889,-25.477193,-25.41895181,-27.64,4.5,lake,yellow perch,august,liver,,,
LK9-A23-YP-7-M,3.746280935,-27.19118187,-26.52737079,-27.58,5.55,lake,yellow perch,august,muscle,,,
LK1-A23-MUSS-10,5.853816222,-28.13472194,-28.1936755,-30.61,0.81,lake,mussel,august,,,,
FN-A23-BNM-1-M,3.866229299,-31.12243299,-30.49582265,-31.63,5.77,int,bluntnose minnow,august,muscle,,,
FN-A23-BNM-3-M,3.785466929,-29.22238774,-28.57067479,-29.65,6.08,int,bluntnose minnow,august,muscle,,,
CR5-A23-CADD-3,5.153869229,-31.79766946,-31.60083762,-33.58,4.33,creek,caddisfly,august,,,,
CR9-A23-CP-1,8.122228378,-23.84899391,-24.83366838,-28.57,0.33,creek,caterpillar,august,,,,
CR5-A23-CS-7-L,8.612878957,-28.49324983,-29.69607768,-33.7,5.24,creek,common shiner,august,liver,,,
CR5-A23-CS-7-M,3.95099574,-29.65851422,-29.05849358,-30.25,6.18,creek,common shiner,august,muscle,,,
CR5-A23-CS-8-L,5.773030016,-29.81470028,-29.84337183,-32.21,5.79,creek,common shiner,august,liver,,,
CR5-A23-CS-8-M,3.740866327,-27.52654234,-26.86106377,-27.91,6,creek,common shiner,august,muscle,,,
FN-A23-CS-2-M,3.778775741,-30.03901202,-29.38522947,-30.46,4.86,int,common shiner,august,muscle,,,
CR5-A23-CC-10-L,9.406302341,-21.91776068,-23.48577865,-27.91,5.78,creek,creek chub,august,liver,,,
CR5-A23-CC-10-M,3.963866456,-26.11577221,-25.51981051,-26.72,6.78,creek,creek chub,august,muscle,,,
CR5-A23-CC-7-L,6.474771707,-25.62997601,-25.92810003,-28.72,6.39,creek,creek chub,august,liver,,,
CR5-A23-CC-7-M,3.779096421,-27.01869454,-26.36501115,-27.44,7.29,creek,creek chub,august,muscle,,,
CR5-A23-CC-8-L,4.997918575,-26.81206061,-26.56030559,-28.44,6.03,creek,creek chub,august,liver,,,
CR5-A23-CC-8-M,3.888917151,-27.65997202,-27.04045417,-28.19,7.4,creek,creek chub,august,muscle,,,
FN-A23-CC-3-M,3.75071485,-27.8367923,-27.17434744,-28.23,6.57,int,creek chub,august,muscle,,,
FN-A23-CC-4-L,4.647754514,-27.28872303,-26.91647294,-28.57,5.99,int,creek chub,august,liver,,,
FN-A23-CC-4-M,3.71917184,-27.55801988,-26.88587058,-27.92,7.02,int,creek chub,august,muscle,,,
CR5-A23-GS-1-M,4.020820383,-28.70938782,-28.13145539,-29.37,6.34,creek,golden shiner,august,muscle,,,
CR5-A23-GS-2-L,4.732461361,-31.98486325,-31.64139923,-33.35,4.98,creek,golden shiner,august,liver,,,
CR5-A23-GS-2-M,3.732722206,-31.33460502,-30.66662033,-31.71,6.95,creek,golden shiner,august,muscle,,,
CR5-A23-GS-3-L,4.98556787,-31.42428781,-31.16821595,-33.04,4.83,creek,golden shiner,august,liver,,,
CR5-A23-GS-3-M,3.736382548,-30.58098128,-29.91412267,-30.96,7.03,creek,golden shiner,august,muscle,,,
CR5-A23-GS-4-M,3.772195584,-30.00552637,-29.34971009,-30.42,6.67,creek,golden shiner,august,muscle,,,
FN-A23-GS-8-L,6.068362674,-28.52232095,-28.66263673,-31.21,5.66,int,golden shiner,august,liver,,,
FN-A23-GS-8-M,3.721476309,-30.91573845,-30.24429696,-31.28,7.54,int,golden shiner,august,muscle,,,
LK1-A23-MF-5,5.394366661,-27.23957701,-27.12893722,-29.26,0.8,lake,mayfly,august,,,,
LK1-A23-MF-6,5.826137297,-25.54212408,-25.59068046,-27.99,1.19,lake,mayfly,august,,,,
LK2-A23-MF-3,4.628388987,-24.9878949,-24.60909658,-26.25,1.17,lake,mayfly,august,,,,
LK5-A23-MF-8,4.789390172,-28.28850373,-27.96451655,-29.71,0.79,lake,mayfly,august,,,,
LK1-A23-MEGA-1,5.912537674,-27.1165877,-27.19767466,-29.65,2.98,lake,megaloptera,august,,,,
LK1-A23-MEGA-2,5.020190939,-28.32001097,-28.07605284,-29.97,2.9,lake,megaloptera,august,,,,
LK1-A23-MUSS-1,5.192950408,-28.5089791,-28.32603093,-30.33,1.54,lake,mussel,august,,,,
LK1-A23-MUSS-2,4.765702717,-28.00195431,-27.66985031,-29.4,2.2,lake,mussel,august,,,,
LK1-A23-MUSS-3,4.95761278,-27.48196335,-27.21613851,-29.07,2.52,lake,mussel,august,,,,
LK1-A23-MUSS-4,4.868402048,-28.03028197,-27.73349991,-29.53,1.7,lake,mussel,august,,,,
LK1-A23-MUSS-5,5.996488513,-27.97347637,-28.08638387,-30.59,0.75,lake,mussel,august,,,,
LK1-A23-MUSS-6,5.895406165,-27.8535479,-27.92816702,-30.37,0.92,lake,mussel,august,,,,
LK1-A23-MUSS-7,5.653056049,-28.07347451,-28.05753629,-30.35,0.92,lake,mussel,august,,,,
LK1-A23-MUSS-8,5.061549482,-27.82906601,-27.59962798,-29.52,2.29,lake,mussel,august,,,,
LK1-A23-MUSS-9,5.817469739,-27.69070496,-27.73601021,-30.13,1.3,lake,mussel,august,,,,
LK9-A23-Muss-1,5.475173399,-27.63957833,-27.55830072,-29.74,1.39,lake,mussel,august,,,,
